MovieId,CastId,Character,ActorId,ActorName,Order
20352,2,Vector (voice),41088,Jason Segel,1
20352,1,Dr. Nefario (voice),59919,Russell Brand,2
20352,8,Gru's Mother (voice),5823,Julie Andrews,3
20352,23,Mr. Perkins (voice),21200,Will Arnett,4
20352,6,Miss Hattie (voice),41091,Kristen Wiig,5
20352,5,Margo (voice),17743,Miranda Cosgrove,6
20352,17,Edith (voice),124750,Dana Gaier,7
20352,24,Agnes (voice),998571,Elsie Kate Fisher,8
20352,18,Tim the Minion / Bob the Minion / Mark the Minion / Phil the Minion / Stuart the Minion (voice),124747,Pierre Coffin,9
20352,19,Dave the Minion (voice),124748,Chris Renaud,10
20352,7,Jerry the Minion (voice),55936,Jemaine Clement,11
20352,20,Carnival Barker / Tourist Dad (voice),58737,Jack McBrayer,12
20352,21,Fred McDade (voice),62862,Danny McBride,13
20352,22,Tourist mom (voice),125167,Mindy Kaling,14
20352,10,Anchorman (voice),80595,Rob Huebel,15
20352,4,Talk Show Host (voice),83586,Ken Jeong,16
192102,2,Ethan Runner,1269,Kevin Costner,0
192102,1,Vivi Delay,55085,Amber Heard,1
192102,3,Zoey Renner,130640,Hailee Steinfeld,2
192102,4,Christine Renner,935,Connie Nielsen,3
192102,5,The Wolf,49487,Richard Sammel,4
192102,6,The Albino,18818,Tómas Lemarquis,5
192102,7,Jules,25078,Eriq Ebouaney,6
192102,8,Louis,1033668,Big John,7
192102,12,Guido,145161,Bruno Ricci,8
192102,13,Hugh,566080,Jonas Bloquet,9
192102,14,Mitat Yilmaz,585700,Marc Andréoni,10
192102,31,Sumia,1333450,Alison Valence,11
193610,7,Carly Whitten,6941,Cameron Diaz,0
193610,6,Kate King,41087,Leslie Mann,1
193610,12,Amber,974317,Kate Upton,2
193610,13,Frank,25129,Don Johnson,3
193610,5,Mark King,12795,Nikolaj Coster-Waldau,4
193610,11,Phil,210271,Taylor Kinney,5
193610,9,Lydia,968660,Nicki Minaj,6
193610,10,"",116881,Deborah Twiss,7
193610,14,Cece,1031261,Alyshia Ochse,8
193610,15,"",1181294,Jennifer Glasgow,9
193610,16,Nick,76526,David Thornton,10
184345,1,Malcolm,9562,Marlon Wayans,0
184345,3,Megan,56824,Jaime Pressly,1
184345,14,Kisha,154000,Essence Atkins,2
184345,15,Miguel,86498,Gabriel Iglesias,3
184345,16,Noreen,1294,Missi Pyle,4
184345,4,Becky,208225,Ashley Rickards,5
184345,8,Ray- Ray,98394,Affion Crockett,6
184345,11,Wyatt,1286744,Steele Stebbins,7
184345,10,Professor Wilde,1539,Rick Overton,8
184345,6,Agouhl,35701,Dave Sheridan,9
184345,7,Father Doug,5726,Cedric the Entertainer,10
184345,9,Pool Daughter (uncredited),1286743,Audrey Petenbrink,11
184345,5,Kill Family Dad (uncredited),1172222,Scott Burn,12
256092,0,Peter Roberts,11155,Thomas Jane,1
256092,1,Simon Keller,3036,John Cusack,2
